psgc_code,correspondence_code,name,level,region,province,city_municipality
0631000010,063022010,Balabago,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000011,063022011,Balantang,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000012,063022012,Baldoza,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000014,063022014,Sinikway,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000015,063022015,Bantud,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000016,063022016,Banuyao,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000017,063022017,Baybay Tanza,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000018,063022018,Benedicto,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000019,063022019,Bito-on,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000020,063022020,Monica Blumentritt,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000021,063022021,Bolilao,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000022,063022022,Bonifacio Tanza,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000023,063022023,Bonifacio,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000024,063022024,Buhang,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000025,063022025,Buhang Taft North,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000026,063022026,Buntatala,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000028,063022028,Seminario,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000029,063022029,Caingin,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000030,063022030,Calahunan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000031,063022031,Calaparan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000032,063022032,Calumpang,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000033,063022033,Camalig,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000034,063022034,El 98 Castilla,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000035,063022035,Cochero,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000036,063022036,Compania,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000038,063022038,Concepcion-Montes,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000040,063022040,Cuartero,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000041,063022041,Cubay,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000042,063022042,Danao,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000043,063022043,Mabolo-Delgado,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000044,063022044,Democracia,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000045,063022045,Desamparados,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000046,063022046,Divinagracia,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000047,063022047,Don Esteban-Lapuz,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000048,063022048,Dulonan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000049,063022049,Dungon,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000050,063022050,Dungon A,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000051,063022051,Dungon B,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000052,063022052,East Baluarte,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000053,063022053,East Timawa,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000054,063022054,Edganzon,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000055,063022055,Tanza-Esperanza,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000056,063022056,Fajardo,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000057,063022057,Flores,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000060,063022060,South Fundidor,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000061,063022061,General Hughes-Montes,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000062,063022062,Gloria,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000063,063022063,Gustilo,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000064,063022064,Guzman-Jesena,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000065,063022065,Habog-habog Salvacion,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000067,063022067,Hibao-an Sur,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000068,063022068,Hinactacan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000069,063022069,Hipodromo,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000070,063022070,Inday,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000071,063022071,Infante,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000072,063022072,Ingore,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000073,063022073,Jalandoni Estate-Lapuz,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000074,063022074,Jalandoni-Wilson,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000075,063022075,Delgado-Jalandoni-Bagumbayan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000076,063022076,Javellana,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000077,063022077,Jereos,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000078,063022078,Calubihan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000079,063022079,Kasingkasing,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000080,063022080,Katilingban,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000081,063022081,Kauswagan,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000084,063022084,Our Lady Of Fatima,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000085,063022085,Laguda,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000086,063022086,Lanit,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000087,063022087,Lapuz Norte,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000088,063022088,Lapuz Sur,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000089,063022089,Legaspi dela Rama,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
